Number of threads;Ticks;Result
1;3.744.000;60.548,28
2;11.856.000;60.548,28
3;6.692.000;60.548,28
4;12.168.000;60.548,28
5;7.176.000;60.548,28
6;7.332.000;60.548,28
7;4.836.000;60.548,28
8;5.460.000;60.548,28
9;6.396.000;60.548,28
10;5.772.000;60.548,28
11;6.552.000;60.548,28
12;6.396.000;60.548,28
13;6.240.000;60.548,28
14;4.992.000;60.548,28
15;5.304.000;60.548,28
16;6.552.000;60.548,28
17;6.240.000;60.548,28
18;5.772.000;60.548,28
19;7.488.000;60.548,28
20;6.552.000;60.548,28
21;5.772.000;60.548,28
22;5.772.000;60.548,28
23;6.552.000;60.548,28
24;6.396.000;60.548,28
25;6.240.000;60.548,28
26;7.070.000;60.548,28
27;6.080.000;60.548,28
28;6.140.000;60.548,28
29;6.980.000;60.548,28
30;5.660.000;60.548,28
31;5.960.000;60.548,28
32;6.350.000;60.548,28
33;6.280.000;60.548,28
34;6.050.000;60.548,28
35;5.730.000;60.548,28
36;5.490.000;60.548,28
37;7.490.000;60.548,28
38;7.560.000;60.548,28
39;6.340.000;60.548,28
40;7.150.000;60.548,28
41;5.340.000;60.548,28
42;6.760.000;60.548,28
43;7.170.000;60.548,28
44;6.864.000;60.548,28
45;6.864.000;60.548,28
46;7.020.000;60.548,28
47;6.084.000;60.548,28
48;6.396.000;60.548,28
49;6.396.000;60.548,28
50;6.084.000;60.548,28
